row_label,col_1,Fiscal Year 1999 / Number of proceedings / Total,Fiscal Year 1999 / Number of proceedings / Vs. employers only,Fiscal Year 1999 / Number of proceedings / Vs. unions only,Fiscal Year 1999 / Number of proceedings / Vs. both employers and unions,Fiscal Year 1999 / Number of proceedings / Board dismissal,Fiscal Year 1999 / Number of proceedings / Board dismissal²,Fiscal Year 1999 / Percentages / Vs. employers only,Fiscal Year 1999 / Percentages / Vs. unions only,Fiscal Year 1999 / Percentages / Vs. both employers and unions,Fiscal Year 1999 / Percentages / Board dismissal,Fiscal Year 1999 / Percentages / Board dismissal²,"July 5, 1935-Sept. 30, 1999 / Number","July 5, 1935-Sept. 30, 1999 / Percent"
Proceedings decided by U.S. courts of appeals,Proceedings decided by U.S. courts of appeals,165,155,6,0,1,,,,,,,,
On petitions for review and/or enforcement,On petitions for review and/or enforcement,132,126,6,0,0,,100.0,100.0,0.0,100.0,,11369,100.0
Board orders affirmed in full,Board orders affirmed in full,92,87,5,0,0,,69.0,83.3,0.0,0.0,,7497,65.9
Board orders affirmed with modification,Board orders affirmed with modification,16,16,0,0,0,,12.7,0.0,0.0,0.0,,1523,13.4
Remanded to Board,Remanded to Board,4,4,0,0,0,,3.2,0.0,0.0,0.0,,563,4.9
Remanded to Board with modification,Remanded to Board with modification,3,3,0,0,0,,2.4,0.0,0.0,0.0,,247,2.2
Remanded to Board,Remanded to Board,17,16,1,0,1,,12.7,16.7,0.0,100.0,,1541,13.6
On contest,On contest,11,10,1,0,0,,,,,,,,
Total Court Orders,Total Court Orders,19,16,3,0,0,,100.0,100.0,0.0,0.0,,,
"Compliance after filing of petition, before court order","Compliance after filing of petition, before court order",10,8,2,0,0,,50.0,66.7,0.0,0.0,,,
Court orders denying enforcement,Court orders denying enforcement,5,4,1,0,0,,25.0,33.3,0.0,0.0,,,
Court orders denying motion,Court orders denying motion,0,0,0,0,0,,,,,,,,
Court orders discharging contempt without adjudication,Court orders discharging contempt without adjudication,4,4,0,0,0,,25.0,0.0,0.0,0.0,,,
Proceedings decided by U.S. Supreme Court,Proceedings decided by U.S. Supreme Court,0,0,0,0,0,,,,,,,257,100.0
Board orders affirmed in full,Board orders affirmed in full,0,0,0,0,0,,,,,,,155,60.3
Board orders affirmed with modification,Board orders affirmed with modification,0,0,0,0,0,,,,,,,18,7.0
Board orders set aside,Board orders set aside,0,0,0,0,0,,,,,,,45,17.5
Remanded to Board,Remanded to Board,0,0,0,0,0,,,,,,,20,7.8
Remanded to court of appeals,Remanded to court of appeals,0,0,0,0,0,,,,,,,16,6.2
Board's request for remand or modification of enforcement order denied,Board's request for remand or modification of enforcement order denied,0,0,0,0,0,,,,,,,1,0.4
Contempt cases remanded to court of appeals,Contempt cases remanded to court of appeals,0,0,0,0,0,,,,,,,1,0.4
Contempt cases enhanced,Contempt cases enhanced,0,0,0,0,0,,,,,,,1,0.4
