Remedy / outcome,Total,Identification of complainant / A. F. of L. affiliates,Identification of complainant / C. I. O. affiliates,Identification of complainant / Unaffiliated unions,Identification of complainant / Individuals
Cases — Notice posted,529,243,218,51,17
Cases — Company union disestablished,51,24,26,1,0
Cases — Workers placed on preferential hiring list,59,28,21,6,4
Cases — Collective bargaining begun,176,98,60,18,0
Workers — Workers reinstated to remedy discriminatory discharge,3184,2015,951,195,23
Workers — Workers receiving back pay,2779,773,1741,233,32
Workers — Back-pay awards,899297,132770,714477,40830,11220
Workers — Strikers reinstated,384,0,0,384,0
