Case No.,Union and company,Date petition for injunction filed,Type of petition,Date TRO issued,Date TRO lifted,Date temporary injunction granted,Date injunction denied,Date proceedings withdrawn or dismissed,Date Board decision and/or order
5-CC-82,"AFL-Hod Carriers, Local 789 et al. (Doyle & Russell)","May 29, 1957",10 (l),,,"June 4, 1957",,,
5-CC-143,"AFL-Teamsters, Locals 249 and 250 (Polar Water Co.)","May 31, 1957",10 (l),,,,,,
"2-CC-430, 431","AFL-Teamsters, Milk Drivers and Dairy Employees Union, Local 584 (Chesterfield Farms, et al., Home Milk Delivery Association)","June 5, 1957",10 (l),"June 5, 1957","June 14, 1957","June 14, 1957",,,
14-CC-103,"CIO-Maritime Union, CIO-Marine Engineers, AFL-Masters, Mates and Pilots and Rivers Joint Organizing Committee (Standard Oil Co.)","June 10, 1957",10 (l),,,,,,
Additional case rows present,,,,,,,,,
