row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13
10(k) notices of hearings issued,95,85,,,,85,,,,,,,
Complaints issued,5626,4126,3554,352,161,,9,7,3,30,5,2,3
Backpay specifications issued,138,126,95,26,5,,0,0,0,0,0,0,0
"Hearings completed, total",1599,1168,995,108,33,29,0,0,0,2,1,0,0
Initial ULP hearings,1538,1124,954,106,32,29,0,0,0,2,1,0,0
Backpay hearings,53,37,35,1,1,,0,0,0,0,0,0,0
Other hearings,8,7,6,1,0,,0,0,0,0,0,0,0
"Decisions by administrative law Judges, total",1557,1122,948,93,23,,0,2,0,3,13,33,7
Initial LTLP decisions,1534,1102,943,83,18,,0,2,0,3,13,33,7
Backpay decisions,23,20,5,10,5,,0,0,0,0,0,0,0
Supplemental decisions,0,0,0,0,0,,0,0,0,0,0,0,0
"Decisions and orders by the Board, total",1731,1631,1394,98,36,48,1,3,0,3,14,28,6
Upon consent of parties Initial decisions,150,,,,0,,0,,,0,0,0,0
Supplemental decisions,0,149 0,149 0,0 0,0,,0,0 0,0 0,0,0,0,0
Adopting administrative law Judges' deci- sions (no exceptions filed),,,332,17,3,,,,,0,,,
Initial ULP decisions . Backpay decisions,389 3,371,,,,,0,1,0,,2,12,4
,,3,3,0,0,,0,0,0,0,0,0,0
Contested Initial ULP decisions,1128,"1,051 15",863,72 6,32 1,48,1 0,2 0,0,3 0,12 0,16 0,2 0
. Decisions based on stipulated record,15 7,5,8 5,0,,,,0,0 0,0,0,0,0
Supplemental ULP decisions Backpay decisions,39,37,34,3,0 0,,0 0,0,0,0,0,0,0
