Division and State,Total,Number of elections in which representation rights were won by AFL-CIO affiliates,Number of elections in which representation rights were won by Unaffiliated unions,Number of elections in which no representative was chosen,Number of employees eligible to vote,Total valid votes cast,Valid votes cast for AFL-CIO affiliates,Valid votes cast for Unaffiliated unions,Valid votes cast for No union,Employees in units choosing representation
Total,6571,2665,1487,2419,489365,441909,174965,89170,177242,265747
New England,480,112,90,178,29947,27180,10150,3203,13827,11741
Massachusetts,297,80,60,157,14727,12174,4182,1997,5995,
Connecticut,67,16,19,32,5408,5094,,,,
Middle Atlantic,1263,467,317,479,105123,94804,40121,28253,26488,71485
New York,575,235,138,202,31156,28358,14028,9489,11627,36098
East North Central,1642,656,410,576,112709,102937,49402,20198,40257,64103
Ohio,491,179,110,202,24427,22205,,,,
Illinois,339,178,,,35231,31776,,,,
West North Central,625,260,142,223,27486,24000,10779,3921,10710,12539
South Atlantic (partial),760,,,349,64800,58904,,,10168,27882
