row_label,Total elections,Objections only — Number,Objections only — Percent,Challenges only — Number,Challenges only — Percent,Objections and challenges — Number,Objections and challenges — Percent,Total objections — Number,Total objections — Percent,Total challenges — Number,Total challenges — Percent
All representation elections,8531,826,9.7,239,2.8,230,2.7,1056,12.4,469,5.5
By case type — In RC cases,7332,740,10.1,204,2.8,212,2.9,952,13.0,416,5.7
By case type — In RM cases,280,14,5.0,18,6.4,4,1.4,18,6.4,22,7.9
By case type — In RD cases,919,72,7.8,17,1.8,14,1.5,86,9.4,31,3.4
By election type — Consent elections,412,18,4.4,1,0.2,6,1.5,24,5.8,7,1.7
By election type — Stipulated elections,6445,583,9.0,156,2.4,160,2.5,743,11.5,316,4.9
By election type — Expedited elections,33,5,15.2,0,0.0,0,0.0,5,15.2,0,0.0
By election type — Regional director-directed elections,1583,213,13.5,82,5.2,60,3.8,273,17.2,142,9.0
By election type — Board-directed elections,58,7,12.1,0,0.0,4,6.9,11,19.0,4,6.9
