Type of formal action taken,Cases in which formal action taken,Total formal actions taken,Type of case — CA,Type of case — CB,Type of case — CC,Type of case — CD — Initial determination,Type of case — CD — Under labor practices,Type of case — CE,Type of case — CG,Type of case — CP,Type of case — CA combined with CB,Type of case — CA combined with representation,Type of case — Other C combinations
"Hearings completed, total",882,835,688,85,9,15,,0,0,0,4,7,
"Decisions by administrative law judges, total",895,828,510,63,9,,,0,0,0,6,13,10
"Decisions and orders by the Board, total",1114,965,771,123,20,21,,10,2,0,3,12,
