row_label,Number of cases showing specific allegations,Percent of total cases
A. Charges filed against employers under sec 8(a) — Subsections of sec. 8(a),,
Total cases,27749,100.0
8(a)(1),4845,17.6
8(a)(2),314,1.1
8(a)(3),10490,37.8
8(a)(4),239,0.9
8(a)(5),7476,26.9
A,,
8(a)(1),27749,100.0
8(a)(2),858,3.1
8(a)(3),14732,53.1
8(a)(4),1147,4.1
8(a)(5),10898,39.3
B. Charges filed against unions under sec 8(b) — Subsections of sec. 8(b),,
Total cases,10230,100.0
8(b)(1),5692,55.6
8(b)(2),129,1.3
8(b)(3),421,4.1
8(b)(4),1911,18.7
8(b)(5),7,0.1
8(b)(6),15,0.2
8(b)(7),375,3.7
B,,
8(b)(1),7354,71.9
8(b)(2),1254,12.3
8(b)(3),778,7.6
8(b)(4),1911,18.7
8(b)(5),37,0.4
8(b)(6),29,0.3
8(b)(7),375,3.7
B1. Analysis of 8(b)(4),,
Total cases 8(b)(4),1911,100.0
8(b)(4)(A),130,6.8
8(b)(4)(B),1214,63.5
8(b)(4)(C),14,0.7
8(b)(4)(D),435,22.8
B2. Analysis of 8(b)(7),,
Total cases 8(b)(7),375,100.0
8(b)(7)(A),119,31.7
8(b)(7)(B),10,2.7
8(b)(7)(C),234,62.4
C. Charges filed under sec 8(e),,
Total cases 8(e),70,100.0
Against unions alone,70,100.0
D. Charges filed under sec 8(g),,
Total cases 8(g),48,100.0
