row_label,Total appearances on ballot / Number,Total appearances on ballot / Valid votes cast,Won / Elections / Number,Won / Elections / Percent of appearances,Won / Valid votes cast / Number,Won / Valid votes cast / Percent of total cast,Lost / Elections / Number,Lost / Elections / Percent of appearances,Lost / Valid votes cast / Number,Lost / Valid votes cast / Percent of appearances
Unions affiliated with A. F. of L.,604,57151,263,43.5,37061,64.8,341,56.5,20090,35.2
Unions affiliated with C. I. O.,816,175838,553,67.8,148565,84.5,263,32.2,27273,15.5
Unaffiliated national unions,98,11895,45,45.9,9941,83.6,53,54.1,1954,16.4
Unaffiliated local unions,175,37586,84,48.0,20785,55.3,91,52.0,16801,44.7
