Method and stage of disposition,All C cases / Number,All C cases / Percent of total method,CA cases / Number,CA cases / Percent of total closed,CB cases / Number,CB cases / Percent of total closed,CC cases / Number,CC cases / Percent of total closed,CD cases / Number,CD cases / Percent of total closed,CE cases / Number,CE cases / Percent of total closed,CG cases / Number,CG cases / Percent of total closed,CP cases / Number,CP cases / Percent of total closed
Total number cases closed,32406,100.0,21762,100.0,7829,100.0,1762,100.0,441,100.0,100,100.0,70,100.0,459,100.0
AGREEMENT OF THE PARTIES,7390,22.8,5176,23.8,1749,22.3,311,17.7,197,45.2,5,5.0,8,11.4,144,31.4
Informal settlement,7213,22.3,5076,23.3,1708,21.8,270,15.3,197,45.2,5,5.0,8,11.4,138,30.1
Before issuance of complaint,5388,16.7,3575,16.4,1184,15.1,165,9.4,366,29.7,,,15,13.7,84,18.3
"After issuance of complaint, before opening of hearing",1713,5.3,1332,6.1,1415,5.4,174,2.2,78,4.4,,,7,6.4,48,11.4
"After hearing opened, before issuance of administrative law judge's decision",112,0.3,169,0.8,109,1.4,31,1.8,13,2.9,,,,,27,5.9
Formal settlement,177,0.5,100,0.5,41,0.5,28,1.6,1,0.2,,,,,6,1.3
"After issuance of complaint, before opening of hearing",141,0.4,71,0.3,36,0.5,26,1.5,1,0.2,,,,,7,1.5
Stipulated decision,32,0.1,14,0.1,11,0.1,5,0.3,,,,,,,2,0.4
Consent decision,109,0.3,57,0.3,25,0.3,21,1.2,,,,,,,4,0.9
After hearing opened,36,0.1,10,0.1,5,0.2,2,0.1,,,,,,,,
Compliance secured,1096,3.4,440,2.0,402,4.2,122,6.9,,,37,37.0,2,2.9,8,1.7
Administrative law judge's decision,3,,3,,,,,,,,,,,,,
Board decision,690,2.1,353,1.6,303,3.9,29,1.6,,,,,,,,
Adopting administrative law judge's decision (no exceptions filed),148,0.5,127,,18,,3,,,,,,,,,
Contested,542,1.7,226,,285,,26,,,,,,,,,
