row_label,col_1,col_2,col_3,col_4
Cases disposed of before hearing:,,,,
• By withdrawal of petition,107,15718,8.3,20.8
By dismissal of petition,22,14688,L7,4.2
By transfer and consolidation,11,860,.8,2.1
By settlement:,,,,
(a) Consent elections,179,109139,14.0,34.9
(b) Recognition of representatives,194,47994,15.2,38.0
Total cases closed before hearing,513,185399,40.2,109.0
Oases closed after hearing:,,,,
By withdrawal of petition,7,201,.6,10.0
By dismissal of petition,,651,.4,8.7
By settlegent,19',10311,.9,17.4
By issuance of certification without election By certification after election,,628,.4,8.7
By refusal of certification after election,37 1,"17,623 50",2.8,53. 1.5
Total cases closed after hearing,89,29522,5.4,100.0
Cases pending:,,,,
Before hearing,580,304391,45.5,83.8
"After hearing: Awaiting decision or order, including",52,18977,4.1,7.5
certification Awaiting compliance with orders or decisions issued_,ex),8940,4.7,8.7
Total cases pending,692,338308,54.4,100.0
Total representation cases,1274,550929,100.0,
