row_label,Division and State,Total elections,Number of elections in which representation rights were won by unions — Total,Number of elections in which representation rights were won by unions — AFL-CIO unions,Number of elections in which representation rights were won by unions — Teamsters,Number of elections in which representation rights were won by unions — Other national unions,Number of elections in which representation rights were won by unions — Other local unions,Number of elections in which no representative chosen,Total employees eligible to vote,Valid votes cast for unions — Total,Valid votes cast for unions — AFL-CIO unions,Valid votes cast for unions — Teamsters,Valid votes cast for unions — Other national unions,Valid votes cast for unions — Other local unions,Total votes cast for no unions,Eligible employees in elections won by unions
New England (Division total),55,18,12,,,4,37,3556,1187,942,170,15,60,1962,958,
Middle Atlantic (Division total),148,48,28,14,4,2,100,6234,1562,942,,,,4673,2580,
West North Central (Division total),79,17,13,3,,1,62,2816,1131,946,165,0,20,1685,1072,
