row_label,Division and State,Total elec- tions,Number of representation rights won by employees in elections / Total,Number of representation rights won by employees in elections / AFL-CIO unions,Number of representation rights won by employees in elections / Other national unions,Number of representation rights won by employees in elections / Other local unions,Number of employees eligible to vote,Total valid votes cast,Valid votes cast for unions / Total,Valid votes cast for unions / AFL-CIO unions,Valid votes cast for unions / Other national unions,Total votes against participating union / Other local unions,Total elig- ible employ- ees
South Atlantic (region total),305,127,,21,,,29116,11447,9316,14821,,10165,
East South Central (region total),146,64,60,2,,,10608,4624,4474,,,4237,
West South Central (region total),134,63,,,,,11599,5548,5348,,,5331,
