Case No.,Union and company,Date petition for injunction filed,Type of petition,Date TRO issued,Date TRO lifted,Date temporary injunction granted,Date injunction denied,Date proceedings withdrawn or dismissed,Date Board decision and order
14-CC-88,"AFL-(Teamsters) Automotive, Petroleum and Allied Industries Employees Union, Local 618 (Incorporated Oil Co)","Oct. 31, 1955",10 (l),,,,,"Nov. 22, 1955",
10-CC-130,"AFL-Teamsters, Local 327 (B & B Motor Lines, Inc)","Nov. 1, 1955",10 (l),,,"Nov. 14, 1955",,,
14-CB-38,"AFL-Shoe Workers, Locals 144 et al, CIO-Shoe Workers, Locals 231 et al (Brown Shoe Co)","Nov. 1, 1955",10 (j),,,,,"Jan. 3, 1956",Withdrawn
17-CC-30,"AFL-Electrical Workers, Local 231 (Alabama Broadcasting System)","Nov. 22, 1955",10 (l),,,,,"Apr. 30, 1956",Settled
Additional case rows present,,,,,,,,,
