row_label,Industrial group,All cases,All C cases,CA,CB,CC,CD,CE,CG,CP,All R cases,RC,RM,RD,UD,AC,UC
Mining (total),916,758,444,160,117,3,6,0,28,,101,82,123,17,21,1,4
Construction,4729,4245,1646,1067,902,243,82,0,245,,430,322,120,32,5,0,9
Services (total),7586,5174,2878,999,146,23,25,59,43,,2267,1867,104,296,55,19,71
Public administration,49,35,21,7,6,0,0,1,0,,14,14,0,0,0,0,0
"Total, all industrial groups",53261,39653,27036,9469,1961,405,179,59,523,,12902,10338,810,1754,298,82,227
