row_label,col_1,col_2
',','
8(b)(1),7824,85.5
8(b)(2),1174,12.8
8(b)(3),598,6.5
8(b)(4),961,10.5
8(b)(5),17,02
8(b)(6),16,0.2
8(b)(7) .,118,1.3
Bl. Analysis of 8(b)(4),Bl. Analysis of 8(b)(4),Bl. Analysis of 8(b)(4)
Total cases 8(b)(4),961,100.0
8(b)(4)(A),116,12.0
8(b)(4XB),568,59.1
8(b)(4)(C),19,2.0
8(b)(4)(D),211,22.0
8(b)(4)(AX13),40,4.2
8(b)(4)(AXC),3,0.3
8(b)(4XB)(C),2,0.2
8(b)(4)(A)(B)(C),2,0.2
',','
8(b)(4XA),161,16.8
8(b)(4)(B),612,63.7
8(b)(4)(C),26,2.7
8(b)(4)(D),211,220
B2. Analysis of 8(b)(7),B2. Analysis of 8(b)(7),B2. Analysis of 8(b)(7)
Total cases 8(b)(7),118,100.0
8(b)(7)(A),34,28.8
8(b)(7)(B),7,5.9
8(b)(7)(C),72,61.0
8(3)(7)(A)(B),1,09
8(b)(7)(AXC),3,2.5
8(b)(7)(3)(C),,0.9
',','
8(b)(7)(A),38,32.2
8(b)(7)(B),9,7.6
8(b)(7)(C),76,64.4
C. Charges filed under Sec. 8(e),C. Charges filed under Sec. 8(e),C. Charges filed under Sec. 8(e)
Total cases 8(e) ..,53,100.0
Against unions alone,52,98.1
Against employers alone,1,1.9
D. Charges filed under Sec. 8(g),,
Total cases 8(g),38,100 0
