Division and State,Total elections,Number of elections in which unions won / Total,Number of elections in which unions won / AFL-CIO,Number of elections in which unions won / Other national unions,Number of elections in which unions won / Other local unions,Number of elections in which no representative chosen,Total number of employees eligible to vote,Total valid votes cast,Valid votes cast for unions / Total,Valid votes cast for unions / AFL-CIO,Valid votes cast for unions / Other national unions,Valid votes cast for unions / Other local unions,Eligible voters in elections in which no representative chosen
South Atlantic,355,152,123,20,9,203,28500,26037,11690,10094,1471,125,14347
East South Central,164,60,57,3,0,104,15499,14128,6073,5830,391,0,8085
West South Central,166,71,61,3,7,95,13047,11509,5538,5027,241,270,6392
Mountain,154,81,69,8,4,83,7120,6282,3979,2809,319,151,3403
