Standard Federal region,All cases,Subcategory columns (All C / All R / etc.; not parsed)
Connecticut,413,
Maine,92,
Massachusetts,1070,
New Hampshire,107,
Rhode Island,111,
Vermont,53,
Region I (total),1864,
Delaware,82,
New Jersey,1485,
New York,3334,
Puerto Rico,199,
Virgin Islands,9,
Region II (total),5107,
District of Columbia,199,
Maryland,538,
Pennsylvania,2541,
Virginia,871,
West Virginia,236,
Region III (total),4385,
Alabama,542,
Florida,1011,
Georgia,642,
Kentucky,459,
Mississippi,234,
North Carolina,457,
South Carolina,243,
Tennessee,510,
Region IV (total),4098,
Illinois,1808,
Indiana,1025,
Michigan,1632,
