Case class and stage,Total,Identification of Filing Party — AFL-CIO unions,Identification of Filing Party — Teamsters,Identification of Filing Party — Other national unions,Identification of Filing Party — Other local unions,Identification of Filing Party — Individuals,Identification of Filing Party — Employers
"All cases — Pending July 1, 1970",11220,4597,1261,555,581,2863,1363
All cases — Received fiscal 1971,37212,12987,5283,1676,1122,11201,5043
All cases — On docket fiscal 1971,48432,17484,6544,2231,1703,14064,6406
All cases — Closed fiscal 1971,37200,12811,5197,1704,1274,11224,4990
"All cases — Pending June 30, 1971",11232,4673,1347,527,429,2840,1416
"Unfair labor practice cases — Pending July 1, 1970",8276,3188,667,338,238,2683,1162
Unfair labor practice cases — Received fiscal 1971,23770,6660,1872,762,547,10061,3847
Unfair labor practice cases — On docket fiscal 1971,32046,9538,2540,1130,758,12744,5009
Unfair labor practice cases — Closed fiscal 1971,23840,6714,1844,797,515,10128,3842
"Unfair labor practice cases — Pending June 30, 1971",8206,3124,696,333,270,2616,1167
"Representation cases — Pending July 1, 1970",2858,1379,591,213,342,145,188
Representation cases — Received fiscal 1971,12966,6077,3383,863,559,952,1110
Representation cases — On docket fiscal 1971,15824,7456,3978,1076,901,1107,1307
Representation cases — Closed fiscal 1971,12896,5538,3327,886,745,923,1077
"Representation cases — Pending June 30, 1971",2927,1873,640,190,164,184,230
Union-shop deauthorization cases — On docket fiscal 1971,201,0,0,0,0,201,0
Union-shop deauthorization cases — Closed fiscal 1971,163,0,0,0,0,163,0
Amendment of certification cases — On docket fiscal 1971,95,57,11,9,5,4,9
Unit clarification cases — On docket fiscal 1971,267,133,17,16,11,9,81
