Method and stage of disposition,All-C cases — Number,All-C cases — Percent of total closed,All-C cases — Percent (subcategory),CA cases — Number,CA cases — Percent of total closed,CB cases — Number,CB cases — Percent of total closed,CC cases — Number,CC cases — Percent of total closed,CD cases — Number,CD cases — Percent of total closed,CE cases — Number,CE cases — Percent of total closed,CG cases — Number,CG cases — Percent of total closed,CP cases — Number,CP cases — Percent of total closed
By circuit court of appeals decree,6,0.0,0.1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,0
By Supreme Court action,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
10(k) actions (see Table 7A for details of dispositions),239,0.8,0.0,91,0.4,4,0.0,,,239,99.1,,,,,3,1.2
Otherwise (complaint or Administrative Law Judge or Board not achieved — firm went out of business),98,0.3,0.0,91,0.4,4,0.0,,,,,,,,,,
