row_label,Standard Federal regions,All cases,Unfair labor practice cases / All C cases,CA,CB,CC,CD,CE,CP,Representation cases / All R cases,RC,RM,RD,Union deauthorization cases / UD,Amendment of certification cases / AC,Unit clarification cases / UC
Connecticut,Connecticut,389,212,155,54,24,12,2,3,144,114,16,14,0,4,5
Maine,Maine,106,55,47,6,2,0,0,0,49,45,1,3,0,0,2
Massachusetts,Massachusetts,1295,835,504,208,41,10,0,9,375,343,16,16,2,6,10
New Hampshire,New Hampshire,110,38,27,7,4,0,0,0,69,59,0,10,0,0,3
Rhode Island,Rhode Island,147,97,65,22,12,0,0,0,47,40,2,1,0,0,3
Vermont,Vermont,14,4,4,0,0,0,0,0,10,8,0,2,0,0,0
Region I,Region I,1952,1277,766,297,138,70,2,16,674,592,42,40,13,6,22
Region II,Region II,5679,3515,1950,1138,229,77,14,57,2045,1814,117,114,41,7,21
Region III,Region III,4450,2957,1832,668,286,96,11,64,1410,1238,66,106,20,22,41
