Industrial group,Elections — Number,Elections — Percent,Winner — A. F. of L. — Number,Winner — A. F. of L. — Percent,Winner — C. I. O. — Number,Winner — C. I. O. — Percent,Winner — Unaffiliated — Number,Winner — Unaffiliated — Percent,Winner — No union — Number,Winner — No union — Percent,Eligible voters — Number,Eligible voters — Percent,Valid votes cast — Number,Valid votes cast — Percent
Total,133,100.0,22,16.7,25,18.9,3,2.3,82,62.1,18773,100.0,17078,100.0
Manufacturing — total,95,72.0,16,13.6,23,30,3,2.2,53,55.7,16299,86.8,14860,87.0
Manufacturing — Food and kindred products,18,13.6,1,5.5,5,27.7,0,0,12,66.6,799,4.3,2008,
Manufacturing — Textile-mill products,10,7.5,1,10.0,0,0,0,0,9,90.0,330,1.8,59,
Manufacturing — Apparel and other finished products made from fabrics and similar materials,2,1.5,1,50.0,0,0,0,0,1,50.0,,,,
Manufacturing — Lumber and wood products,5,3.8,0,0,1,20.0,1,20.0,3,60.0,,,,
Manufacturing — Furniture and fixtures,3,2.3,1,33.3,1,33.3,0,0,1,33.3,,,,
Manufacturing — Paper and allied products,4,3.0,1,25.0,1,25.0,0,0,2,50.0,,,,
Manufacturing — Chemicals and allied products,5,3.8,0,0,2,40.0,1,20.0,2,40.0,,,,
Manufacturing — Primary metal industries,3,2.3,0,0,2,66.7,0,0,1,33.3,,,284,
Manufacturing — Fabricated metal industries,10,7.6,4,40.0,1,10.0,0,0,5,50.0,,,,
Manufacturing — Machinery (except electrical),9,6.8,0,0,1,11.1,1,11.1,7,77.8,,,,
"Manufacturing — Electrical machinery, equipment, and supplies",5,3.8,0,0,1,20.0,0,0,4,80.0,,,,
Manufacturing — Automotive and other transportation equipment,1,.8,0,0,1,100.0,0,0,0,0,,,,
Manufacturing — Miscellaneous manufacturing,4,3.0,0,0,1,25.0,0,0,3,75.0,,,,
Mining — total,2,1.5,0,0,2,100.0,0,0,0,0,,,,
Wholesale trade,16,12.1,2,12.5,0,0,0,0,8,50.0,359,,326,
Retail trade,5,3.8,2,40.0,0,0,0,0,1,20.0,,,126,
