Stage and method,Number of cases,Percent of cases closed
Total number of cases closed,18691,100.0
"Before formal action, total",18684,100.0
"Before formal action — Adjusted, total",16649,89.1
Adjusted — Consent election—authorized,15732,84.2
Adjusted — Consent election—not authorized,285,1.5
Adjusted — Stipulated election—authorized,59,.3
Adjusted — Stipulated election—not authorized,0,0
Adjusted — Regional director directed election—authorized,564,3.0
Adjusted — Regional director directed election—not authorized,9,.1
Before formal action — Withdrawn,1878,10.0
Before formal action — Dismissed,148,.8
Before formal action — Otherwise,9,.1
"After formal action, total",7,
After formal action — Adjusted—consent election—authorized,2,
After formal action — Decision and authorization after regional director directed election,4,
After formal action — Dismissed by Board without election,1,
