row_label,Standard Federal Regions,All cases,Unfair labor practice cases — All C cases,CA,CB,CC,CD,CE,CG,CP,Representation cases — All R cases,RC,RM,RD,Union deauthorization cases — UD,Amendment of certification cases — AC,Unit clarification cases — UC
Arizona,534,463,326,112,13,2,0,9,1,,65,49,4,12,1,,5
California,7406,6185,3818,1919,618,29,26,6,169,,1175,827,240,108,36,,8
Hawaii,246,211,152,45,1,0,0,0,13,,35,27,7,1,,,5
Guam (and other Pacific outlying),,,,,,,,,,,,,,,,,
Nevada,548,499,363,86,18,1,0,0,31,,49,31,9,9,0,0,0
Region IX (subtotal — AZ/CA/HI/GU/NV),8897,7358,4659,1896,650,32,26,9,176,,1342,734,250,348,43,4,60
Region X (subtotal — AK/ID/OR/WA),2714,1933,1499,386,111,16,7,1,23,,588,289,117,284,32,1,61
"Total, all States and areas",49436,40634,28995,8973,1676,414,74,39,463,,8078,5410,764,1904,241,38,445
