row_label,col_1
16-R-1548,"Montgomery Ward &Co., Inc:"
11-11-989,"Moore Co., &Hanger Mfg. Co., The."
21-R-2951,Moore McCormack Steamship Co.
18-11-1543,"Morrell, John, &Co."
20-11-1625,"Mountain Copper Co., Ltd."
9-11-1953,"Myer Bros. Edward J. &H. G., Myers."
4-11-1749,- National Biscuit Co.
7-R-2012,National Brass Co.
2-11-5885,National Can Corp.
5-11-2192,National Carbide Co.
5-11-2330,"National Color Printing Co., Inc."
9-R-2129,National Electric Coil Co.
2-11-5725,National Electric Instrument Co.
4-R-2069,National Fireproofing Co.
21-11-3129,National Lead Co.
8-11-1891,National Lime &Stone Co.
8-R-2049,National Lime &Stone Co.
14-11-1414,National Machine Co.
5-11-2312,National Plastics Products Co.
19-R-1798,National Pole &Treating Co.
8-11-1862,National Rubber Machinery Co.
4-R-1943,"National Transitads, Inc."
,National Wool Marketing Corp.
1-11-2559 1-11-2499,"Narragansett Electric Co., The."
4-11-2008,Nash Kelvinator Sales Corp.
2-11-5110,"Neptune Meter Co. Nettleton, A. E., Co."
3-11-1078 2-11-5689,"Newberry, J. J., Co."
1-11-3013,New Britain Machine Co.
2-R-5918,"News Syndicate Co., Inc."
5-R-2286,New York Central Iron Works.
4-R-1757,New York Shipbuilding Corp.
18-R-1411,Nichols Wire &Steel Co.
,Nicholson Transit Co.
7-11-2007 11-R-840,"Noblitt-Sparks Industries,"
,Inc.
11-11-855,"Noblitt-Sparks Industries, Inc. No-Mend Hosiery, Inc.,"
4-11-2118,
241-5632,"Norden, Carl L, Co, Inc. Norris Stamping &Mfg."
21-11-3019,Co. Northern Packing Corp.
20-11-1453,
,"Northwestern Corp., The Northwest Packing Co."
13-R-3440,
19-R-1598 21-11-2943,North Whittier Heights Citrus Association.
21-R-2953,". Norton Bros. &Morris. Nu-Maid Hosiery Mills, Inc."
10-11-1751,
21-R-2993,"Ocean Terminals Co., Berth 230. Odenbach Shipbuilding Corp. Ohio Chemical &Mfg. Co."
3-11-1149 18-R-1354 8-R-1999,Ohio Electric Mfg. Co. Co.
8-R-2181,"Ohio Public Service Ohio River Co., The."
13-11-3131,"O'Keefe, Binyon."
16-11-1505,"Olin Industries, Inc."
14-R-1298,Products Co.
,"Olive Olson, Samuel, Mfg."
20-R-1589 13-R-3332,"Co., The."
,"Omar, Inc."
11-R-997,Orange Belt Fruit Inc.
21-11-3263,"Distributors, Orange Cotton Mills."
10-R-1755 7-11-2247,Otsego Falls Paper Mill Inc. Ottenheimer Bros. Mfg. Co.
15-R-1568,
13-R.-3236,Outboard Marine &Mfg. Co.
,Owens
1341-2882,Illinois Glass Co.
