Industrial group,Total elections,Number of elections in which representation rights were won by unions — Total,AFL-CIO unions won,Teamsters won,Other national unions won,Other local unions won,Number of elections in which no representative chosen,Number of employees eligible to vote,Total valid votes cast,Valid votes cast for unions — Total,AFL-CIO unions,Teamsters,Other national unions,Other local unions,Total votes cast for no representation,Eligible employees in elections choosing no representation
Legal services,8,8,8,0,0,0,0,441,414,292,292,0,0,0,122,441
Social services,41,26,22,2,0,2,15,1736,1376,773,707,39,0,27,603,857
Miscellaneous services,13,9,8,0,0,1,4,144,132,84,72,0,0,12,48,117
Services — Subtotal,940,498,346,75,28,49,442,61657,48926,24439,19780,2523,1224,2902,22487,33486
Public administration,11,7,6,0,1,0,4,380,240,166,159,0,7,0,74,218
"Total, all industrial groups — GRAND TOTAL FY1991",3752,1663,1064,434,59,106,2089,225842,195876,93593,65542,17356,3184,7511,102283,90051
