Stage of disposition,All R cases / Number of cases,All R cases / Percent of cases closed,RC cases / Number of cases,RC cases / Percent of cases closed,RM cases / Number of cases,RM cases / Percent of cases closed,RD cases / Number of cases,RD cases / Percent of cases closed,UD cases / Number of cases,UD cases / Percent of cases closed
Total number of cases closed,7271,100.0,5743,100.0,331,100.0,1197,100.0,168,100.0
Before issuance of notice of hearing,2517,34.6,1702,29.6,180,54.4,635,53.0,130,77.4
"After issuance of notice, before close of hearing",3560,49.0,3015,52.5,100,30.2,445,37.2,9,5.4
"After hearing closed, before issuance of decision",105,1.4,95,1.7,2,0.6,8,0.7,4,2.3
After issuance of Regional Director's decision,936,12.9,792,13.8,46,13.9,98,8.2,25,14.9
After issuance of Board decision,153,2.1,139,2.4,3,0.9,11,0.9,0,0
