Stage and method of disposition,All C cases / Number of cases,All C cases / Percent of cases closed,CA cases 1 / Number of cases,CA cases 1 / Percent of cases closed,CB cases 1 / Number of cases,CB cases 1 / Percent of cases closed,CC cases 1 / Number of cases,CC cases 1 / Percent of cases closed,CD cases 1 / Number of cases,CD cases 1 / Percent of cases closed
Total number of cases closed,5144,100.0,3446,100.0,1163,100.0,435,100.0,100,100.0
Before issuance of complaint,4444,86.4,3114,90.4,925,79.5,311,71.5,94,94.0
Adjusted,631,12.3,431,12.5,100,8.6,78,17.9,22,22.0
Withdrawn,2135,41.5,1443,41.9,470,40.4,162,37.3,60,60.0
Dismissed,1678,32.6,1240,36.0,355,30.5,71,16.3,12,12.0
"After issuance of complaint, before opening of hearing",238,4.6,96,2.8,62,5.3,78,18.0,2,2.0
Adjusted (after issuance of complaint),77,1.5,60,1.7,11,.9,6,1.4,0,.0
Compliance with stipulated decision,5,.1,3,.1,0,.2,0,.0,0,.0
Compliance with consent decree,128,2.5,20,.6,38,3.4,68,15.7,2,2.0
Withdrawn (after issuance of complaint),22,.4,9,.2,9,.7,4,.9,0,.0
Dismissed (after issuance of complaint),6,.1,4,.1,2,.2,0,.0,0,.0
"After hearing opened, before issuance of intermediate report",114,2.2,23,.7,77,6.6,14,3.2,0,.0
