Type of formal action taken,Total / Cases in which formal actions taken,Total / Number of formal actions taken,Number of formal actions taken by type of case / CA,Number of formal actions taken by type of case / CB,Number of formal actions taken by type of case / CC,Number of formal actions taken by type of case / CD jurisdictional disputes,Number of formal actions taken by type of case / CD unfair labor practices,Number of formal actions taken by type of case / CE,Number of formal actions taken by type of case / CP,Number of formal actions taken by type of case / CA combined with CB,Number of formal actions taken by type of case / C combined with representation cases,Number of formal actions taken by type of case / Other C combinations
10(k) notice of hearing issued,63,63,,,,,,,,,,
Complaints issued,2416,1890,1436,156,126,0,108,6,29,73,26,39
Backpay specifications issued,71,46,48,,,,,,,,,
"Hearings completed, total",1592,1030,906,71,45,33,33,3,7,14,13,20
Decisions by trial examiners + Decisions and orders by the Board,,,,,,,,,,,,
