Category,Amount
Personnel compensation,37161178
Personnel benefits,3299135
Travel and transportation of persons,2173407
Transportation of things,73108
"Rent, communications, and utilities",1464994
Printing and reproduction,792931
Other services,1962080
Supplies and materials,398001
Equipment,272155
Insurance claims and indemnities,33993
Subtotal obligations and expenditures,47630982
Transferred to other accounts (GSA),7941
Total Agency,47638923
