Case status,Total,Identification of filing party / AFL-CIO unions,Identification of filing party / Teamsters,Identification of filing party / Other national unions,Identification of filing party / Other local unions,Identification of filing party / Individuals,Identification of filing party / Employers
"All cases — Pending October 1, 1983",23658,8909,2686,1006,1255,7542,2260
All cases — Received fiscal 1984,44118,14368,4511,846,2049,18342,4002
All cases — On docket fiscal 1984,67776,23277,7197,1852,3304,25884,6262
All cases — Closed fiscal 1984,46356,15167,4848,1147,2164,18788,4242
"All cases — Pending September 30, 1984",21420,8110,2349,705,1140,7096,2020
"Unfair labor practice cases — Pending October 1, 1983",20686,7601,2206,886,1025,6986,1982
Unfair labor practice cases — Received fiscal 1984,35529,11142,2903,640,1445,16257,3142
Unfair labor practice cases — On docket fiscal 1984,56215,18743,5109,1526,2470,23243,5124
Unfair labor practice cases — Closed fiscal 1984,37783,11923,3244,926,1572,16707,3411
"Unfair labor practice cases — Pending September 30, 1984",18432,6820,1865,600,898,6536,1713
"Representation cases — Pending October 1, 1983",2772,1262,472,120,214,480,224
Representation cases — Received fiscal 1984,7846,3055,1556,201,559,1829,646
Representation cases — On docket fiscal 1984,10618,4317,2028,321,773,2309,870
Representation cases — Closed fiscal 1984,7859,3066,1554,218,554,1816,651
"Representation cases — Pending September 30, 1984",2759,1251,474,103,219,493,219
"Union-shop deauthorization cases — Pending October 1, 1983",76,,,,,76,0
Union-shop deauthorization cases — Received fiscal 1984,254,,,,,254,0
Union-shop deauthorization cases — On docket fiscal 1984,330,,,,,330,0
Union-shop deauthorization cases — Closed fiscal 1984,264,,,,,264,0
"Union-shop deauthorization cases — Pending September 30, 1984",66,,,,,66,0
"Amendment of certification cases — Pending October 1, 1983",10,6,0,0,4,0,0
Amendment of certification cases — Received fiscal 1984,36,19,5,0,10,0,2
Amendment of certification cases — On docket fiscal 1984,46,25,5,0,14,0,2
Amendment of certification cases — Closed fiscal 1984,36,21,5,0,8,0,2
"Amendment of certification cases — Pending September 30, 1984",10,5,0,0,6,0,0
"Unit clarification cases — Pending October 1, 1983",114,40,8,0,12,0,54
Unit clarification cases — Received fiscal 1984,453,152,47,5,35,2,212
Unit clarification cases — On docket fiscal 1984,567,192,55,5,47,2,266
Unit clarification cases — Closed fiscal 1984,414,157,45,3,30,1,178
"Unit clarification cases — Pending September 30, 1984",153,35,10,2,17,1,88
