Division and State,Total elections,Number of elections in which representation rights were won by unions — Total,Number of elections in which representation rights were won by unions — AFL-CIO unions,Number of elections in which representation rights were won by unions — Other national unions,Number of elections in which representation rights were won by unions — Other local unions,Number of elections in which no representation chosen,Number of employees eligible to vote,Total valid votes cast,Valid votes for unions — Total,Valid votes for unions — AFL-CIO unions,Valid votes for unions — Other national unions,Valid votes for unions — Other local unions,Total votes for no union,Total employees in units choosing representation
South Atlantic Division — subtotal,359,196,178,,14,161,25144,,,,,,,
East South Central Division — subtotal,226,138,132,,,,16425,14313,6376,,,,,
West South Central Division — subtotal,175,83,89,4,13,94,8165,,,,,,,
