Case-flow stage,Total,A. F. of L. affiliates,C I O affiliates,Unaffiliated unions,Individuals,Employers
"All cases — Cases pending July 1, 1948",12644,7290,2214,1810,1013,317
"All cases — Cases received July 1, 1948-June 30, 1949",25874,14591,4053,3825,2417,988
"All cases — Cases on docket July 1, 1948-June 30, 1949",38518,22181,6267,5635,3430,1305
"All cases — Cases closed July 1, 1948-June 30, 1949",32796,19865,5129,4748,2077,977
"All cases — Cases pending June 30, 1949",5722,2316,1138,587,1353,328
"Unfair labor practice cases — Cases pending July 1, 1948",2399,615,584,174,840,186
"Unfair labor practice cases — Cases received July 1, 1948-June 30, 1949",5314,1523,780,461,2041,509
"Unfair labor practice cases — Cases on docket July 1, 1948-June 30, 1949",7713,2138,1364,635,2881,695
"Unfair labor practice cases — Cases closed July 1, 1948-June 30, 1949",4664,1316,786,459,1614,489
"Unfair labor practice cases — Cases pending June 30, 1949",3049,822,578,176,1267,206
"Representation cases — Cases pending July 1, 1948",2837,1379,553,601,173,131
"Representation cases — Cases received July 1, 1948-June 30, 1949",8370,4452,1713,1356,370,479
"Representation cases — Cases on docket July 1, 1948-June 30, 1949",11207,5831,2266,1957,543,610
"Representation cases — Cases closed July 1, 1948-June 30, 1949",9245,4853,1839,1607,458,488
"Representation cases — Cases pending June 30, 1949",1962,978,427,350,85,122
"Union-shop authorization cases — Cases pending July 1, 1948",7408,5296,1077,1035,,
"Union-shop authorization cases — Cases received July 1, 1948-June 30, 1949",12190,8910,1560,1708,6,
"Union-shop authorization cases — Cases on docket July 1, 1948-June 30, 1949",19598,14212,2637,2743,6,
"Union-shop authorization cases — Cases closed July 1, 1948-June 30, 1949",18887,13696,2504,2682,5,
"Union-shop authorization cases — Cases pending June 30, 1949",711,516,133,62,,
