row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12
000,n,0.00,,0.00,,0000000.,,000000,0,00,o,4
000,o,.000,,o.c.icsa,m,o..or-c.lomo,R,0000.0,,MO,0,V
'AR,o m .,"2,W "" .",,"cq,-.2",2,"R.c=.""qgn17-14",m . .,"o.,--Noo o..A.",,wo,op,
0t 0),Lo V,NOWN,LO .,"mn, 2",o N,",N.N000,",. M,"gMTD""",M,M0,,
".ut, ""742",. . o,"H.""",c4,Ug2E,",0","t 4.2R828;""358",2,".t--.mt---,",o,mo .. .-I •,,g cr;
2 n,g,"r?,RgA",51,rnnE,. 2,g2R4484,g,22pEe,R,,n 71:,"8 -,"
on t-,g,0).00 .,W .,"ONO,",M,".00.04,0.1",.0 .,"M,,O..0 . V.",0 0 .,00,0,
00.,0,.000,,0000,N,0.0N0.00,.1.,00-0000,,00,0,M M
0v0,M,"00,,0",",-,",ONO.,0,00000000,N,N.AMOO,0 n,00,0,
0.0 .,g,000.,A,"0,0N",:el,000N.000,74,"IC40,40.0",g,00,0,N 3
OD t- 0 .N,0 M,"4274""",8 .,mo g,m .,"v4.. . !'.m,n",8 .,2° LV °' Na,"0 t- U,","0,",",-+",§
"222 -,",1,"2 g 8, g .....",g CO,gggg,Fj4 0,gg2Mgg22 1. . ...,V,EMO-Ogg'-',"CO ,-1 0","GO Ob c,",R,g
",-, VD •-, CV t- 0",,"R'CUg ,00.",,RPg 0.0.,.7,8.-°1cqw228 . Lo.-.4 0,0,"igP8"" M.",Oa e? r-,AD .,",.",E
"n ""AR",n Tr n 4,0)N mWV.,P V c4.,EPg CS) 61,X,PiRXRi,2,IN v-7 SO,Oa g,E A,,v■I g4 d
". c 114g .4•...,",", .s .",om.01 82!Zn ._._,0,V82 .....,,".47-1MC:144 NN OD ,.",M,F.RAgr .4- t..:,Oa 0 t-,"p ■-• g """,- n,g
