Stage of disposition,All R cases / Number of cases,All R cases / Percent of cases closed,RC cases 1 / Number of cases,RC cases 1 / Percent of cases closed,RM cases 1 / Number of cases,RM cases 1 / Percent of cases closed,RD cases 1 / Number of cases,RD cases 1 / Percent of cases closed
Total number of cases closed,7514,100.0,6551,100.0,607,100.0,356,100.0
Before issuance of notice of hearing,4157,55.3,3594,54.9,374,61.6,189,53.1
"After issuance of notice of hearing, before opening of hearing",1522,20.3,1332,20.3,123,20.3,67,18.8
"After hearing opened, before issuance of Board decision",346,4.6,300,4.6,29,4.8,17,4.8
After issuance of Board decision,1489,19.8,1325,20.2,81,13.3,83,23.3
