row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10
Total,265,"• 181,424",164207,107227,6261,50647,30.8,69.1,214,44
1,24 51,7.351,7285,4605,119,"' 2,541",34.9,65.0,18,6
2,,42162,39262,24028,1916,13318,33.8,66.2,44,7
a,I 8,2460,"I 2,453",1312,,"I 1,069",43.5,53.4,6,1
4,29,26351,17672,9611,1010,7051,39.8,60.1,I 21,s 7
5,5,939,894,738,4,152,17.1,82.9,4,1
6,3,33840,32059,23404,,8655,26.9,73.0,3,0
7,5,15572,15480,12500,,2980,19.2,80.7,5,0
a,7,6397,6118,3722,1350,1046,17.0,82.9,4,3
9,13,5315,4774,2959,918,897,18.7,81.2,10,3
10,4 8,"1,724 6,966","1,166 6,487","896 4,397",,"270 2,046",23.1 31.5,76.8 68.4,4,o
11,,,3840,,44,,,62.5,7,1
12 18,13,4005,,2300,101,1439,37.4,,8,2
14,15 i 6,"9,040 5,986","8,951 5,862","5,128 4,172",,"3,828 1,690",42.9 26.8,57.2 7L 1,10 6,5 o
,,,,352,,361,46.7,,,
15,s 3,878,773,,60,,,53.3,2,' 0
16 17,4 7,"1,208 601","1,089 593",754 305,143,335 - 145,30.7 24.4,69.2 75.5,3 5,1 2
18_,12,,2265,1493,91,,30.0,69.9,,' 1
,,2379,,,,681,,,'10,
19,5,1483,1445,805,144,496,34.3,65.6,4,1
20,26,1844,1799,924,361,514,28.5,71.4,25,1
ai,17,4923,,2827,,,,71.3,15,
,,,3960,,,1133,23.6,,,2
