row_label,col_1,col_2,col_3,col_4,col_5,col_6
"Pending October 1,1999…………",1793,1378,242,173,0,0
Received fiscal 1999……………..,4551,3495,751,305,0,0
On docket fiscal 1999…………….,6344,4873,993,478,0,0
Closed fiscal 1999………………..,4731,3619,773,339,0,0
"Pending September 30, 1999 ……..",1613,1254,220,139,0,0
,RMcases,RMcases,RMcases,RMcases,RMcases,RMcases
"Pending October 1,1999…………",87,0,10,0,0,77
Received fiscal 1999……………..,128,0,15,0,0,113
On docket fiscal 1999…………….,215,0,25,0,0,190
Closed fiscal 1999………………..,137,0,18,0,0,119
"Pending September 30, 1999 ……..",78,0,7,0,0,71
,RD cases,RD cases,RD cases,RD cases,RD cases,RD cases
"Pending October 1,1999…………",370,0,59,0,311,0
Received fiscal 1999……………..,783,1,95,1,686,0
On docket fiscal 1999…………….,1153,1,154,1,997,0
Closed fiscal 1999………………..,840,1,104,0,735,0
"Pending September 30, 1999 ……..",313,0,50,1,262,0
