row_label,Industrial group,Total elections,Number of elections in which representation rights were won by unions / Total,Number of elections in which representation rights were won by unions / AFL-CIO unions,Number of elections in which representation rights were won by unions / Other national unions,Number of elections in which representation rights were won by unions / Other local unions,Number of elections in which no representative chosen,Number of employees eligible to vote,Total valid votes cast,Valid votes cast for unions / Total,Valid votes cast for unions / AFL-CIO unions,Valid votes cast for unions / Other national unions,Valid votes cast for unions / Other local unions,Eligible employees in units choosing representation / Votes for no representation
"Museums, art galleries, botanical and zoological gardens",1,0,0,0,0,1,57,55,23,23,0,0,32,0
Legal services,5,2,2,0,0,3,39,36,18,18,0,0,18,0
Social services,26,6,4,2,0,20,5150,3933,2315,2286,0,29,1618,2896
Miscellaneous,9,5,5,0,0,4,232,232,107,99,0,8,181,113
Services,937,503,396,34,73,434,59199,49712,25259,20239,1803,3317,24553,27092
Public administration,17,8,8,0,0,9,919,811,411,387,24,0,400,508
"Total, all industrial groups",3277,1469,1288,51,130,1808,219073,190338,90816,78181,3237,9398,99522,82947
