Type of union,Elections in which union participated — Number,Elections in which union participated — Valid votes cast,Elections won — Number,Elections won — Percent of total in which union participated,Elections won — Valid votes cast — Number,Elections won — Valid votes cast — Percent of total cast,Elections lost — Number,Elections lost — Percent of total in which union participated,Elections lost — Valid votes cast — Number,Elections lost — Valid votes cast — Percent of total cast
A. F. of L. affiliates (AFL),734,343439,386,52.59,70700,20.59,348,47.41,272739,79.41
C. I. O. affiliates (CIO),692,447236,407,58.82,313852,70.18,285,41.18,133384,29.82
Unaffiliated national unions,115,37043,45,39.13,9499,25.64,70,60.87,27544,74.36
Unaffiliated local unions,134,93170,83,61.94,63697,68.37,51,38.06,29473,31.63
