Method and stage of disposition,All R cases / Number,All R cases / Percent,RC cases / Number,RC cases / Percent,RM cases / Number,RM cases / Percent,RD cases / Number,RD cases / Percent,UD cases / Number,UD cases / Percent
"Total, all",11797,100.0,10082,100.0,1116,100.0,599,100.0,95,100.0
"Certification issued, total",7905,67.0,7138,70.5,487,43.6,285,38.4,31,31.6
After: Consent election,3414,28.9,3116,30.9,188,17.7,100,16.7,10,10.5
After: Stipulated election,2848,24.2,2604,25.8,158,14.6,79,13.2,7,7.4
After: Expedited election,34,.3,16,.2,18,1.6,0,0,0,0
After: Regional director-directed election,1521,12.9,1329,13.2,121,10.8,65,10.8,6,6.3
After: Board-directed election,88,.7,73,.7,9,.8,6,1.0,0,0
"By withdrawal, total",2933,24.8,2262,22.5,453,40.6,218,36.4,31,32.6
Withdrawal stage,,,,,,,,,,
"By dismissal, total",959,8.1,638,6.0,176,15.8,87,14.5,31,32.6
Dismissal stage,,,,,,,,,,
