row_label,Action taken,Total all,Employer / Total,Employer / Pursuant to Agreement of parties: Informal settlement,Employer / Pursuant to Agreement of parties: Formal settlement,Employer / Recommendation of administrative law judge,Employer / Order of- Board,Employer / Order of- Court,Union / Total,Union / Pursuant to Agreement of parties: Informal settlement,Union / Pursuant to Agreement of parties: Formal settlement,Union / Recommendation of administrative law judge,Union / Order of- Board,Union / Order of- Court
Declined,Declined,623,623,266,248,3,35,51,0,0,0,0,0,0
Employees placed on preferential hiring list,Employees placed on preferential hiring list,666,666,439,8,108,110,1,0,0,0,0,0,0
Hiring hall rights restored,Hiring hall rights restored,13,0,0,0,0,0,0,13,7,0,0,6,0
Objections to employment withdrawn,Objections to employment withdrawn,2,0,0,0,0,0,0,2,1,0,0,1,0
Employees receiving backpay: From either employer or union,Employees receiving backpay: From either employer or union,22879,22669,18088,802,134,2764,881,210,204,0,0,4,2
From both employer and union,From both employer and union,18,5,1,4,0,0,0,13,1,12,0,0,0
"Employees reimbursed for fees, dues, and fines","Employees reimbursed for fees, dues, and fines",,,,,,,,,,,,,
From either employer or union,From either employer or union,805,463,356,104,0,0,3,342,310,28,0,4,0
From both employer and union,From both employer and union,1,0,0,0,0,0,0,1,0,0,0,0,0
"C. By amount of monetary recovery, total","C. By amount of monetary recovery, total",60690044,59035753,28446485,11682826,196806,6297834,12411802,1654291,391647,824235,0,434338,4271
"Backpay (includes all monetary payments except fees, dues, and fines)","Backpay (includes all monetary payments except fees, dues, and fines)",59703050,58596798,28071850,11682826,196806,6284439,12360877,1106252,246588,824235,0,31158,4271
"Reimbursements of fees, dues, and fines","Reimbursements of fees, dues, and fines",986994,438955,374635,0,0,13395,50925,548039,144859,0,0,403180,0
