row_label,Industrial group,All cases,Unfair labor practice cases — All C,Unfair labor practice cases — CA,Unfair labor practice cases — CB,Unfair labor practice cases — CC,Unfair labor practice cases — CD,Unfair labor practice cases — CE,Unfair labor practice cases — CP,Representation cases — All R,Representation cases — RC,Representation cases — RM,Representation cases — RD,Union-shop Deauthorization cases — UD,Amendment-of-Certification cases — AC,Unit-Clarification cases — UC
Construction,4534,3754,1124,928,976,1059,410,17,196,556,450,86,20,3,1,18
Wholesale trade,2500,1252,904,222,86,11,0,9,1212,993,135,85,20,3,13,0
Retail trade,5022,2768,2191,353,203,11,1,9,2069,1669,215,211,36,4,31,0
"Finance, insurance, and real estate",454,230,161,53,8,0,0,0,221,210,10,1,1,0,0,
U.S. Postal Service,526,509,440,55,0,0,0,0,7,1,1,0,0,0,0,
Local and suburban transit and interurban highway passenger transportation,288,187,78,104,1,2,0,2,92,78,4,10,6,0,3,
Motor freight transportation and warehousing,2116,1310,1069,60,82,24,8,4,684,764,57,63,11,5,10,
Water transportation,316,200,117,59,10,4,1,0,92,57,30,10,12,1,0,
Other transportation,141,81,65,13,2,1,0,0,56,48,7,1,1,0,3,
Communication,937,608,367,168,55,11,2,5,294,246,21,27,31,3,1,
"Electric, gas, and sanitary services",506,271,155,54,16,11,1,2,213,183,11,19,2,5,10,
"Transportation, communication, and other utilities — Total",5004,3324,2102,923,165,76,19,39,1605,1388,108,129,23,11,41,
"Hotels, rooming houses, camps, and other lodging places",554,375,274,79,8,6,0,8,174,150,20,4,1,0,4,
Personal services,315,185,127,44,8,2,1,0,124,105,12,9,1,0,0,
"Automotive repair, services, and garages",376,155,128,22,4,0,0,1,215,188,14,13,4,1,1,
Amusement and recreation services (except motion pictures),456,346,168,100,60,10,0,8,97,70,11,16,7,2,4,
Motion pictures,944,511,408,87,11,2,0,3,414,358,25,31,18,1,0,
Health services,200,136,87,16,3,0,0,0,61,55,5,1,0,0,3,
Educational services,183,136,86,48,0,0,0,1,40,29,2,9,0,0,1,
Membership organizations,1275,726,526,188,5,5,0,2,520,436,23,61,13,1,15,
Business services,142,80,64,11,1,1,0,0,59,39,9,11,0,0,0,
Miscellaneous repair services,6,0,0,0,0,0,0,0,6,5,0,1,0,0,0,
Legal services,48,27,16,5,0,0,0,0,20,17,0,3,1,0,0,
"Museums, art galleries, and botanical and zoological gardens",6,6,5,1,0,0,0,0,0,0,0,0,0,0,0,
Miscellaneous services,181,102,64,21,1,1,0,0,79,67,6,6,0,0,0,
Services — Total,4680,2780,1949,552,130,32,0,39,1865,1614,117,134,3,5,46,
"Total, all industrial groups",41077,26487,17361,6052,1888,627,104,475,14032,11897,991,1144,213,78,267,
