row_label,col_1,col_2,col_3
14-RC-311,Mississippi Lime Co. of,1-RC-728,"Paulding, J. I., Co, Inc, Peerless Enamel Pro-"
14-RC-426,Missouri. Missouri Pacific Trans- portation Co.,14-RC-365,"ducts Co. Penney, J. C., Co."
17-RC-250,"Missouri White Motor Co., Inc., The",16-RC-182 30-RC-133 36-RC-211,"Penney, J. C., Co. Penney, J. C., Co."
6-RC-380,Monongahela Power Co.,1-RC-748,Penobscot Shoe Co.
9-RC-342,Monsanto Chemical Co.,16-RC-132,Petrol Terminal Corp.
9-RC-389,Monsanto Chemical Co.,6-RC-64,Philadelphia Co.
14-RC-599,Monsanto Chemical Co.,4-RC-142,Philadelphia Electric &
14-RC-306,"Monsanto Chemical Co.,",,Manufacturing Co.
,Plant B. Montgomery Ward,4-RC-83,Philadelphia Lager Beer Brewers' Association.
13-RC-448,"& Co., Inc.",21-RC-466,Platt Music Corp.
18-RC-350,"Montgomery Ward & Co., Inc.",38-RC-37,(Warehouse). Ponce Candy Indus-
18-RC-391,"Montgomery Ward & Co., Inc.",,"tries, Inc. Port Drum Co."
21-RC-756,Morris Metal Products Co.,16-RC-141 19-RC-52 8-RC-125,"Potlatch Forests. Precision Castings Co.,"
35-RC-120,"Mouldings, Inc.",,Inc. Premier Petroleum Co.
7-RC-503 14-RC-372,Mueller Brass Co.,16-RC-259,
,"Multiple Boring Ma- chine Co., Inc.",1-RC-574,"Prentice, G. E., Manu- facturing Co;"
14-RC-367,"Munro Brothers Ma- chine Shop, Inc.",10-RC-467,Price Spindle & Flyer Shop.
14-RC-364,Mu-Way Machine & Die Works.,14-RC-377,Production Engineering & Manufacturing Co.
13-RC-314 4-RC-420,National Biscuit Co. National Container Corp,14-RC-401 4- RC-325,Progressive Service Co. Public Service Electric & Gas Co.
14-RC-339,National Enameling & Stamping Co,10-RC-549 10-RC-550 13-RC- 480,Pure Oil Co. Pure Oil Co. Pure Oil Co.
18-RC-185 2-RC-1035,"National Tea Co. National Varnish Prod- ucts Corp., The.",13-RC-510 13-RC-729,"Pure Oil Co. Pure Oil Co. Pure Oil Co.,"
18-RC-222,"Natrogas Co., Inc",5-RC-245 7-RC-470,"The. Pure Oil Co., The. Pure Oil Co., The."
2-RC-289,"Nelson, N. P., Iron Works, Inc.",15-RC-219 10-RC-496,Pure Pep Co. of
8-RC-318,"Newark Tidewater Ter- minal, Inc.",,Tusca-
,,,loosa.
19-RC-248 1-RC-464,Newberry-Neon Elec- tric Co.,4-RC-172 2-RC-457,"RCA Service Co. RCA Service Co., Inc."
,New Britain Machine Co.,2-RC-517 2-RC-546,"RCA Service Co., Inc. RCA Service Co., Inc."
13-RC-386 5-RC-273,"Noble, F. H., & Co. Norfolk Newspapers,",2-RC-615 7-RC-237,"RCA Service Co., Inc. RCA Service Co., Inc."
4-ItC-178,Inc. Norristown Broadcast-,;21-RC-786 5-RC-156,"RCA Service Co., Inc. RCA Service Co., Inc., Shop 927."
18-RC-11,"ing Co., Inc. Northern Engineering Co.",21-RC-363 14-RO-389,"Radio Corp. of America. Ramming, John, Ma-"
34-R C-126 14-RO-360,,,chine Co.
,Oak Furniture Co.,21-RC-656,Rawak Candy Co.
,"Obear Nester Glass Co. Oehrle Bros. Co., Inc.",21-RC-773,"Reed & Co. Record Studios, Inc."
4-RC-455 14-RC-366,O'Fallon Tool & Die Co. Oppenheim Collins Co,13-RC-495 07-RC-377,Refiners Transport &
2-RC-562,Pacific Electricord Co.,13-RC-582,Terminal Corp. Reflector Hardware
7-RC-200 2-RC-1076,Packard Motor Car Co. Paramount Internation-,2-RC-917 3-RC-169,"Remington Rand, Inc."
21-RC-657 21-RC-720,"Pacific Press, Inc.",14-RC-505,Corp.
,,,Reichert Milling Co.
,Paramount Pictures.,,"Remington Rand, Inc. Remington Rand, Inc."
,"al Films, Inc.",,
2-RC-806,,3-RC-190 3-RC-249,"Remington Rand, Inc."
