row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13
AFL-CIO……………………………,118,39.8,47,47,,,71,13098,8978,8978,,,4120
Other national unions.........................,159,44.7,71,,71,,88,10387,6539,,6539,,3848
Other local unions..............................,10,30.0,3,,,3,7,179,63,,,63,116
1-union elections............................,287,42.2,121,47,71,3,166,23664,15580,8978,6539,63,8084
National v. National............................,3,100.0,3,,3,,0,132,132,,132,,0
National v. Local................................,3,100.0,3,,2,1,0,207,207,,153,54,0
AFL-CIO v. AFL-CIO......................,1,0.0,0,0,,,1,2,0,0,,,2
AFL-CIO v. National.........................,1,100.0,1,1,0,,0,20,20,20,0,,0
AFL-CIO v. Local…..........................,1,100.0,1,1,,0,0,460,460,460,,0,0
2-union elections............................,9,88.9,8,2,5,1,1,821,819,480,285,54,2
Total RD elections.........................,296,43.6,129,49,76,4,167,24485,16399,9458,6824,117,8086
