row_label,Total,Identification of filing party / AFL-CIO unions,Teamsters,Other national unions,Other local unions,Individuals,Employers
"CA cases - Pending October 1, 1976",10570,5536,1145,413,322,3616,38
CA cases - Received fiscal 1977,26005,10220,3099,656,718,11374,38
CA cases - On docket fiscal 1977,36675,15256,4244,1069,1040,14990,76
CA cases - Closed fiscal 1977,25448,9996,2898,547,708,11197,42
"CA cases - Pending September 30, 1977",11227,5260,1346,522,172,3793,34
"CB cases - Pending October 1, 1976",2373,45,3,4,13,1726,582
CB cases - Received fiscal 1977,8956,56,14,7,64,7409,1406
CB cases - On docket fiscal 1977,11329,101,17,11,77,9135,1988
CB cases - Closed fiscal 1977,9021,66,10,7,59,7345,1535
"CB cases - Pending September 30, 1977",2308,35,7,5,18,1790,453
"CC cases - Pending October 1, 1976",773,7,0,4,28,30,708
CC cases - Received fiscal 1977,1737,10,13,0,46,77,1575
CC cases - On docket fiscal 1977,2510,13,0,33,74,107,2283
CC cases - Closed fiscal 1977,1942,10,3,31,47,80,1774
"CC cases - Pending September 30, 1977",568,3,4,2,27,27,509
"CD cases - Pending October 1, 1976",216,4,0,4,5,8,195
CD cases - Received fiscal 1977,391,10,0,0,30,7,365
CD cases - On docket fiscal 1977,607,14,0,8,35,15,560
CD cases - Closed fiscal 1977,475,10,0,6,8,10,441
"CD cases - Pending September 30, 1977",132,4,0,2,2,5,119
"CE cases - Pending October 1, 1976",135,1,0,0,27,13,94
CE cases - Received fiscal 1977,122,2,1,0,10,7,102
CE cases - On docket fiscal 1977,257,3,1,0,37,20,196
CE cases - Closed fiscal 1977,138,2,1,0,13,15,107
"CE cases - Pending September 30, 1977",121,1,0,0,13,24,89
"CG cases - Pending October 1, 1976",67,0,0,0,0,5,67
CG cases - Received fiscal 1977,68,0,0,0,0,0,63
CG cases - On docket fiscal 1977,135,0,0,0,0,5,130
CG cases - Closed fiscal 1977,110,0,0,0,0,4,106
"CG cases - Pending September 30, 1977",25,0,0,0,0,1,24
"CP cases - Pending October 1, 1976",122,1,0,0,0,5,115
CP cases - Received fiscal 1977,449,1,0,2,16,22,392
CP cases - On docket fiscal 1977,571,2,0,2,20,20,507
CP cases - Closed fiscal 1977,468,1,0,0,12,24,431
"CP cases - Pending September 30, 1977",103,1,0,2,8,4,94
