row_label,Standard Federal regions and States,Total elections,Total won,AFL-CIO unions,Teamsters,Other national unions,Other local unions,No representative chosen,Number of employees eligible to vote,Total valid votes cast,Total,AFL-CIO unions,Teamsters,Other national unions,Other local unions,Total votes for no union,Eligible employees in units choosing representation
Region I,463,238,121,92,11,14,225,39146,29349,15795,7850,2115,2960,3030,13614,13316,
Region II,1041,697,295,158,50,94,444,89501,72745,50567,22463,6322,3090,18700,,,
Region III,950,545,324,135,55,31,405,73909,70938,41135,24094,4797,1873,1394,25756,45201,
Region IV,1108,552,356,139,37,20,556,99187,63994,33655,,,,,47335,38805,
