row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12
,,,CO .,0000 -,F.1,0101..00,0,... A .o.,= v,,,3
"-0 4,",0 ..,0.000,,0000,0,000000,0,0000.,C-,0000,0,4
"R m R'""4'",1,0.010101,",","00,90",N,t-000NO,,00 .,8,01..4... .,A,.1.
,,". 01 2"".12",R,R46',7.1,"gR.:., ..",. 1 . t--,"Nt-0074 ""n.",g,m m,Id _,F
"v=4F.,a2",CO,". . ,m .",R,.1.M 0W,0 .,NC-.0o.,7-1,"000., R",,.. m2,6,t- t-
2°V.1,,RgRAFI,"00 ,",a;ar24,a!,8'4.5R,g,"nEu-F.' ,",,,,
HAMA,"_ """,r%4SE,R,"2-980 .""2 . M",8,4g544R,g,FIEV8,g,G264 ...:,0,F
"....m..0 , '.""",s?,001010 b-,,00m. N,. m,..0000,N,,r- 0 .,.01M .,4,
.00 . m0,0,000001,N,00.0,,0100000,Cl,..4000,Cl,0.00,,0 m
",,,,,...m0",".t,",004000,Cl,000.1.,CO,0000010,Cl,0N000,N,.0..,,fll
2 0 -1R'Z'42,,"0,,,Qc ..1",,..2.,4,0.100100.40,LO,M4.1000,,m0MC- .,n,Cl 4
84.8g?62 .,".:r• ,",mOM00,,v..o .,R,"..:..,!,.,.040.1.0",", m",M80104,R,00Nt- ..mm,S,§
F48Z22,g,R8RAI . .,S,4g2S ./.,c. 2,c`10'F..,5 .,McOM'''2,4,o..E 0N0,,0 8
W00.00 5S828P . a-:- a,g a,",-,C,D.Ci",in 6,"`404 cs, ..",A,R6222,R,ral,,W.2.876 .Nw,R,M
":22E.""0 .__ NRR' aaa Cl",,",5nmgg -r",""" Cl",2:11g2 -7,,,g,p9..= m= 4 .A-,t- TA a-,2253 ....,,""" M 4"
c. 04ggg4 C O wa a--7,". - "" .74:",HEE§,§ CO-,3riii,3 _ a-,"'""""t2Z7.2 V""",4,C-,,,0,S
