Action taken,Total all,Employer — Total,Employer — Agreement of parties — Informal settlement,Employer — Agreement of parties — Formal settlement,Employer — Pursuant to recommendation of administrative law judge,Employer — Pursuant Order of — Board,Employer — Pursuant Order of — Court,Union — Total,Union — Agreement of parties — Informal settlement,Union — Agreement of parties — Formal settlement,Union — Pursuant to recommendation of administrative law judge,Union — Pursuant Order of — Board,Union — Pursuant Order of — Court
A. By number of cases involved,11366,,,,,,,,,,,,
Notice posted,2060,1791,1517,29,57,108,80,269,243,4,6,12,4
Employees offered reinstatement,1256,1256,1142,7,19,48,40,,,,,,
Collective bargaining begun,2537,2409,2274,15,26,36,58,128,127,0,0,1,0
Backpay distributed,1944,1892,1738,11,32,62,49,52,47,4,0,1,0
"B. By number of employees affected — Employees offered reinstatement, total",4138,4138,2384,10,661,174,909,,,,,,
