row_label,Industrial group,All cases,Unfair labor practice cases / All C cases,Unfair labor practice cases / CA,Unfair labor practice cases / CB,Unfair labor practice cases / CC,Unfair labor practice cases / CD,Unfair labor practice cases / CE,Unfair labor practice cases / CG,Unfair labor practice cases / CP,Representation cases / All R cases,Representation cases / RC,Representation cases / RM,Representation cases / RD,Union deauthorization cases / UD,Amendment of certification cases / AC,Unit clarification cases / UC
Water transportation,369,326,128,145,28,13,6,8,,43,35,2,6,,,,
Other transportation,138,96,60,29,6,1,,,,40,35,1,4,1,,1,
Communication,1083,717,532,153,21,11,,,,342,,,,12,,,
"Electric, gas, and sanitary services",684,482,370,94,9,5,,4,,208,191,4,13,2,,8,
"Transportation, communication, and other utilities",6529,4633,3089,1231,223,49,6,16,,47,1809,1518,113,178,21,37,
"Hotels, rooming houses, camps, and other lodging places",722,469,385,78,20,3,3,10,,215,183,11,21,6,1,,
Personal services,294,177,133,42,2,,,,,237,205,7,25,6,1,1,
"Automotive repair, services, and garages",447,266,184,55,6,,,2,,127,110,2,11,5,,1,
Motion pictures,280,230,127,79,13,1,,9,,39,26,10,1,2,,,
Amusement and recreation services (except motion pictures),302,204,120,48,22,9,14,2,,94,80,5,8,,,,
Health services,2074,1720,1439,262,13,1,,1,,1138,1033,44,61,20,3,93,
Educational services,240,184,151,23,13,2,,1,,136,123,9,,10,,13,
Membership organizations,244,211,118,56,32,4,,1,,30,21,3,6,3,,,
Business services,1736,1029,722,221,65,11,3,7,,560,452,63,45,15,1,4,
Miscellaneous repair services,166,70,49,27,3,,,,,65,54,1,10,1,,,
Legal services,12,6,6,,,,,,,5,5,,,1,,,
"Museums, art galleries, botanical and zoological gardens",16,11,11,,,,,,,5,5,,,,,,
Social services,133,80,60,16,4,,,,,47,42,,5,5,1,,
Services,7641,4650,2505,787,181,28,20,23,92,27,2800,2469,133,206,49,12,130
Public administration,50,41,28,11,2,,,,,9,9,,,,,,
"Total, all industrial groups",49335,33544,23496,8007,1819,446,57,92,444,151,14189,11846,888,1457,235,84,229
