stage / case-type,1935-36 / Cases — Number,1935-36 / Cases — Percent of total,1935-36 / Workers involved — Number,1935-36 / Workers involved — Percent of total,1936-37 / Cases — Number,1936-37 / Cases — Percent of total,1936-37 / Workers involved — Number,1936-37 / Workers involved — Percent of total,1937-38 / Cases — Number,1937-38 / Cases — Percent of total,1937-38 / Workers involved — Number,1937-38 / Workers involved — Percent of total,1938-39 / Cases — Number,1938-39 / Cases — Percent of total,1938-39 / Workers involved — Number,1938-39 / Workers involved — Percent of total,1939-40 / Cases — Number,1939-40 / Cases — Percent of total,1939-40 / Workers involved — Number,1939-40 / Workers involved — Percent of total,1940-41 / Cases — Number,1940-41 / Cases — Percent of total,1940-41 / Workers involved — Number,1940-41 / Workers involved — Percent of total
All cases closed,738,100.0,144312,100.0,2344,100.0,467807,100.0,8851,100.0,1843818,100.0,6569,100.0,1028909,100.0,7354,100.0,1455020,100.0,8396,100.0,2082036,100.0
All cases — Cases closed before formal action,621,84.1,129277,89.6,,,,,,,,,,,,,,,,,7114,84.7,1457392,70.0
Unfair labor practice cases closed,636,100.0,92725,100.0,1762,100.0,249568,100.0,6096,100.0,946575,100.0,4230,100.0,564454,100.0,4109,100.0,872651,100.0,4698,100.0,1208005,100.0
Representation cases closed,102,100.0,51587,100.0,582,100.0,218239,100.0,2755,100.0,897243,100.0,2339,100.0,464455,100.0,3245,100.0,582369,100.0,3698,100.0,1055243,100.0
