Industrial group,Total elections,Total with rep chosen,AFL-CIO union,Teamsters,Other national unions,Other local unions,col_7,Employees eligible to vote,Total valid votes cast,Total valid for unions,AFL-CIO votes,Teamsters votes,Other national votes,Other local votes,Votes for no union,Eligible in choosing-rep units
Food and kindred products,509,254,124,109,10,11,255,30924,26853,14196,7965,3924,592,1695,12656,13680
Tobacco manufactures,6,1,1,0,0,0,5,,,,,,,,,
Textile mill products,100,33,16,5,9,3,67,21219,19628,7874,5427,2144,8,295,11754,3546
Apparel and other finished products made from fabrics and similar materials,111,48,40,4,1,3,63,14310,13029,6412,5387,245,38,847,6408,5479
Lumber and wood products (except furniture),216,102,73,26,2,1,114,13581,12367,5322,4853,417,35,0,6560,8007
Furniture and fixtures,141,87,43,16,4,2,74,18325,16067,7375,4886,405,105,452,8989,8492
Paper and allied products,160,73,36,23,14,5,84,,,,,,,,,
"Printing, publishing, and allied industries",220,159,138,13,2,9,161,12977,11775,5154,3564,392,91,270,5657,5142
Chemicals and allied products,225,113,55,50,7,1,112,18998,17267,8907,5066,4782,3030,81,284,7625
Petroleum refining and related industries,116,65,24,29,3,1,51,5883,5146,2599,1837,343,115,0,2155,1150
Rubber and miscellaneous plastic products,203,98,50,36,9,5,131,19592,17732,8041,5941,1117,1003,76,9599,5164
Leather and leather products,34,13,9,3,1,1,21,9058,7847,3060,1587,343,1068,74,5196,4797
"Stone, clay, glass, and concrete products",224,116,68,37,2,9,108,13901,12409,5960,3447,1891,139,489,6449,6683
Primary metal industries,133,73,33,31,5,4,60,10486,9775,4961,2330,1327,1304,,,
Fabricated metal products (except machinery and transportation equipment),447,226,149,42,23,12,221,30737,27422,13827,8358,2902,1410,509,13595,11727
Machinery (except electrical),444,199,118,41,21,27,245,41237,37238,18168,10180,1985,5009,1150,18941,14758
"Electrical and electronic machinery, equipment, and supplies",262,115,71,22,19,3,147,38706,35107,15065,7651,725,708,6432,10066,
Aircraft and parts,21,13,7,5,0,1,8,22034,,,,,,,,
Ship and boat building and repairing,23,7,2,0,4,1,16,6074,5633,2191,674,11400,,133,,0
Automotive and other transportation equipment,52,23,13,9,0,1,29,4446,3937,1556,1221,166,153,16,1981,1057
"Measuring, analyzing, and controlling instruments, photographic, medical, and optical goods, watches and clocks",66,28,12,12,3,1,38,7771,7196,2949,1395,1019,,,4062,1521
Other industry groups (continued on next page),,,,,,,,,,,,,,,,
