row_label,Number of cases showing specific allegations,Percent of total cases
8(b)(1),6433,85.1
8(b)(2),783,10.4
8(b)(3),521,6.9
8(b)(4),760,10.0
8(b)(5),18,0.2
8(b)(6),18,0.2
8(b)(7),130,1.7
B1. Analysis of 8(b)(4),,
Total cases 8(b)(4),760,100.0
8(b)(4)(A),42,5.5
8(b)(4)(B),497,65.4
8(b)(4)(C),8,1.1
8(b)(4)(D),180,23.7
8(b)(4)(A)(B),31,4.1
8(b)(4)(A)(B)(C),1,0.1
8(b)(4)(A),75,9.9
8(b)(4)(B),529,69.6
8(b)(4)(C),10,1.3
8(b)(4)(D),180,23.7
B2. Analysis of 8(b)(7),,
Total cases 8(b)(7),130,100.0
8(b)(7)(A),42,32.3
8(b)(7)(B),12,9.2
8(b)(7)(C),51,39.2
8(b)(7)(A)(B),14,10.8
8(b)(7)(A)(C),8,6.2
8(b)(7)(B)(C),3,2.3
8(b)(7)(A),67,51.5
8(b)(7)(B),29,22.3
8(b)(7)(C),62,47.7
C. Charges filed under Sec. 8(e),,
Total cases 8(e),34,100.0
Against unions alone,34,100.0
D. Charges filed under Sec. 8(g),,
Total cases 8(g),32,100.0
