Industrial group,Total elections,Number of elections in which representation rights were won by unions — Total,Number of elections in which representation rights were won by unions — AFL-CIO unions,Number of elections in which representation rights were won by unions — Teamsters,Number of elections in which representation rights were won by unions — Other national unions,Number of elections in which representation rights were won by unions — Other local unions,Number of elections in which no representative was chosen,Total valid votes cast,Votes for unions — Total,Votes for unions — AFL-CIO unions,Votes for unions — Teamsters,Votes for unions — Other national unions,Votes for unions — Other local unions,Votes for no union,Eligible employees in units of unions chosen as representative
Mining and quarrying of nonmetallic minerals (except fuels),16,,,,,,,,,,,,,,
Construction,356,162,22,134,0,6,152,5272,5065,199,4777,0,,1952,
Wholesale trade,174,47,25,22,0,0,127,18418,5733,3766,1925,0,41,9206,
Retail trade,482,162,92,70,0,0,320,30328,14496,9927,4547,13,24,16239,
Health services,367,157,154,1,0,0,210,36558,19001,16931,1128,0,,17557,18727
