row_label,col_1,Total,Identification of filing party / AFL-CIO unions,Identification of filing party / Teamsters,Identification of filing party / Other national unions,Identification of filing party / Other local unions,Identification of filing party / Individuals,Identification of filing party / Employers
"Pending July 1, 1976",CA cases,9853,4709,1063,409,303,3335,34
Received 19TQ,CA cases,6223,2512,715,163,159,2651,13
On docket 19TQ,CA cases,16076,7221,1778,572,462,5986,47
Closed 19TQ,CA cases,5506,2185,633,159,140,2380,9
"Pending September 30, 1976",CA cases,10570,5036,1145,413,322,3615,38
"Pending July 1, 1976",CB cases,2218,43,1,5,16,1628,525
Received 19TQ,CB cases,2106,17,2,0,9,1679,399
On docket 19TQ,CB cases,4324,60,3,5,25,3307,924
Closed 19TQ,CB cases,1951,15,,,12,1581,342
"Pending September 30, 1976",CB cases,2373,45,3,5,13,1726,582
CC cases (5-row block),CC cases,,,,,,,
CD cases (5-row block),CD cases,,,,,,,
CE cases (5-row block),CE cases,,,,,,,
CG cases (5-row block),CG cases,,,,,,,
CP cases (5-row block),CP cases,,,,,,,
