Type of case / Type of election,Total elections,Objections only — Number,Objections only — Percent,Challenges only — Number,Challenges only — Percent,Objections and challenges — Number,Objections and challenges — Percent,Total objections — Number,Total objections — Percent,Total challenges — Number,Total challenges — Percent
All representation elections,3788,161,4.3,105,2.8,43,1.1,204,5.4,148,3.9
By type of case — In RC cases,3094,129,4.2,91,2.9,38,1.2,167,5.4,129,4.2
By type of case — In RM cases,69,5,7.2,3,4.3,0,,5,7.2,3,4.3
By type of case — In RD cases,625,27,4.3,11,1.8,5,0.8,32,5.1,16,2.6
By type of election — Consent elections,33,0,,2,6.1,0,,0,,2,6.1
By type of election — Stipulated elections,3083,117,3.8,82,2.7,35,1.1,152,4.9,117,3.8
By type of election — Regional Director-directed elections,661,43,6.5,20,3.0,8,1.2,51,7.7,28,4.2
By type of election — Board-directed elections,8,0,,0,,0,,0,,0,
