row_label,Participating unions,Total elections,Elections won by unions / Percent won,Elections won by unions / Total,Elections won by unions / AFL-CIO unions,Elections won by unions / Other national unions,Elections won by unions / Other local unions,Elections in which no representative chosen,Employees eligible to vote / Total,Employees eligible to vote / In elections won by unions / AFL-CIO unions,Employees eligible to vote / In elections won by unions / Other national unions,Employees eligible to vote / In elections won by unions / Other local unions,In elections where no representative chosen
Section A. All representation elections — AFL-CIO,3022,45.2,1366,1366,,,1656,186082,71658,71658,,,115184
Total representation elections,3399,47.4,1611,1420,49,142,1782,215137,86678,75248,2989,8441,128459
Other rows,,,,,,,,,,,,,
