row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13
By number of cases Involved,13039,,,,,,,,,,,,
Notice posted,4894,3753,2725,83,20,563,362,1141,890,61,0,154,36
Recognition or other assist- ance withdrawn,39,39,23,0,1,7,8,,,,,,
Employer-dominated union disestablished,10,10,4,0,0,3,3,,,,,,
Employees offered resinstatement,2851,2851,2041,60,21,422,307,,,,,,
Employees placed on prefer- ential hiring list,998 189,998,710,25,9,145,109,189,108,13,,55,13
Hiring hall rights restored Objections to employment withdrawn,204,,,,,,,204,117,13,,60,14
Picketing ended,753,,,,,,,753,725,11,,12,5
Work stoppage ended,198,2024,1696,25,5,166,132,198 203,189 196,6 1,,2 3,1 2
Collective bargammg begun Backpay distributed,"2,227 3,984",3676,2981,50,22,369,254,308,199,15,,77,17
"Reimbursement of fees, dues, and fines",1498,1231,921,26,14,158,112,267,171,15,0,67,14
Other conditions of employ- improved,3292,2295,2277,,3,11,4,997,984,2,,11,0
ment Other remedies,18,16,16,,0,0,0,2,2,0,,0,0
