row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15
AFL-CIO,1971,46 I,908,908,,,,1063,134014,44023,44023,,,,89991
Teamsters,1065,416,443,,443,,,622,39823,11263,,11263,,,28360
Other national unions,78,487,38,,,38,,40,5252,1103,,,1103,,4149
Other local unions,199,613,122,,,,122,77,9695,4674,,,,4674,5021
1-union elections,3313,456,1511,908,443,38,122,1802,188784,61063,44023,11263,1103,4674,127721
AFL-CIO v AFL-CIO,55,745,41,41,,,,14,5889,2421,2421,,,,3468
AFL-CIO v Teamsters,66,879,58,43,15,,,8,3606,2662,628,2034,,,944
AFL-CIO v National,16,813,13,10,,3,,3,3111,2021,840,,1181,,1090
AFL-CIO v Local,42,929,39,19,,,20,3,4774,4195,1876,,,2319,579
Teamsters v National,5,600,3,,2,1,,2,480,343,,330,13,,137
Teamsters v Local,13,769,10,,8,,2,3,602,427,,394,,33,175
Teamsters v Teamsters,3,00,0,,0,,,3,121,0,,0,,,121
National v Local,4,750,3,,,1,2,1,242,,,,42,170,30
Local v Local,22,864,19,,,,19,3,2397,"212 2,264",,,,2264,133
2-union elections,226,823,186,113,25,5,43,40,21222,14545,5765,2758,1236,4786,6677
AFL-CIO v AFL-CIO v Teamsters,3,667,2,2,0,,,1,908,144,144,0,,,764
AFL-CIO v Teamsters v Local,11900,0 1900,1 2,0 0,0 -,,1 2,0 0,65 182,65 182,o 0,o -,,65 182,0 0
AFL-CIO v Local v Local 3 (or more)-union elections,2 6,833,5,2,0,0,3,I,1155,391,144,0,0,247,764
Total RC elections,3545,480,1702,1023,468,43,168,1843,211161,75999,49932,14021,2339,9707,135162
