row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14
Under 10,1456,269,314,314,18,137,12,203,0,00,4,211,235,364
1010 19,2.657,197,230,544,17,130,16,271,1,500,2,105,161,249
20 to 29,2327,97,11 1,657,17,130,10,169,0,00,6,315,64,99
30 to 39,2119,63,74,731,11,84,4,68,0,00,1,53,47,71
40 to 49,1 728,39,46,777,5,38,1,17,0,00,2,10 5,31,48
50 to 59,1869,35,41,818,9,69,2,34,0,00,0,00,24,37
60 to 69,2113,33,39,857,7,53,5,85,0,00,2,105,19,29
70 to 79,1 585,21,25,882,5,1 8,1,17,1,500,0,00,14,22
80 to 89,1932,23,27,909,II,84,3,51,0,00,0,00,9,14
90 to 99,loll,11,13,922,2,15,2,34,0,00,0,00,7,II
100 to 109,1.034,10,12,934,3,23,1,17,0,00,0,00,6,09
110 to 119,560,5,05,939,2,IS,0,00,0,00,0,00,3,05
120 to 129,491,4,04,943,3,23,0,00,0,00,0,00,1,02
13010 139,664,5,05,948,4,31,1,17,0,00,0,00,0,00
140 to 149,717,5,05,953,2,15,0,00,0,00,0,00,3,05
150 to 159,1078,7,08,96!,2,IS,0,00,0,00,1,53,4,06
160 to 169,332,2,02,963,0,00,0,00,0,00,0,00,2,03
170 to 199,1277,7,08,971,3,23,0,00,0,00,0,00,4,06
2130 to 299,2373,10,1 2,983,4,31,1,1 7,0,00,1,53,4,06
300 to 499,3614,9,I 1,994,3,23,,00,0,00,0,00,6,09
500 to 799,1 798,3,04,998,1,08,0 0,00,0,00,0,00,2,03
800 and over,3486,2,02,000,2,15,0,00,0,00,0,00,0,00
