row_label,col_1,col_2
TABLE,,PAGE
1.,"Total Cases Received, Closed, and Pending, Fiscal Year 1993",107
1A.,"Unfair Labor Practice Cases Received, Closed, and Pending, Fiscal Year 1993",108
1B.,"Representation Cases Received, Closed, and Pending, Fiscal Year 1993",109
2.,"Types of Unfair Labor Practices Alleged, Fiscal Year 1993",110
3A.,"Formal Actions Taken in Unfair Labor Practice Cases, Fiscal Year 1993",112
3B.,"Formal Actions Taken in Representation and Union Deauthorization Cases, Fiscal Year 1993",113
3C.,"Formal Actions Taken in Amendment of Certification and Unit Clarification Cases, Fiscal Year 1993",115
4.,"Remedial Actions Taken in Unfair Labor Practice Cases Closed, Fiscal Year 1993",116
5.,"Industrial Distribution of Cases Received, Fiscal Year 1993",119
6A.,"Geographic Distribution of Cases Received, Fiscal Year 1993",122
6B.,"Standard Federal Administrative Regional Distribution of Cases Received, Fiscal Year 1993",125
7.,"Analysis of Methods of Disposition of Unfair Labor Practice Cases Closed, Fiscal Year 1993",128
7A.,"Analysis of Methods of Disposition of Jurisdictional Dispute Cases Closed Prior to Unfair Labor Practice Proceedings, Fiscal Year 1993",131
- 8.,"Disposition by Stage of Unfair Labor Practice Cases Closed, Fiscal Year 1993",132
9.,"Disposition by Stage of Representation and Union Deauthorization Cases Closed, Fiscal Year 1993",133
10.,"Analysis of Methods of Disposition of Representation and Union Deauthorization Cases Closed, Fiscal Year 1993",134
10A.,"Analysis of Methods of Disposition of Amendment of Certification and Unit Clarification Cases Closed, Fiscal Year 1993",135
11.,"Types of Elections Resulting in Certification in Cases Closed, Fiscal Year 1993",136
11A.,"Analysis of Elections Conducted in Representation Cases Closed, Fiscal Year 1993",137
11B.,"Representation Elections in Which Objections and/or Determinative Challenges Were Ruled On in Cases Closed, Fiscal Year 1993",138
I IC.,"Objections Filed in Representation Cases Closed, by Party Filing, Fiscal Year 1993",139
11D.,"Disposition of Objections in Representation Cases Closed, Fiscal Year 1993",139
11E.,"Results of Rerun Elections Held mRepresentation Cases Closed, Fiscal Year 1993",140
12.,"Results of Union-Shop Deauthorization Polls in Cases Closed, Fiscal Year 1993",141
13.,"Final Outcome of Representation Elections in Cases Closed, Fiscal Year 1993",142
14.,"Valid Votes Cast in Representation Elections, by Final Results of Election, in Cases Closed, Fiscal Year 1993",
15A.,"Geographic Distribution of Representation Elections Held in Cases Closed, Fiscal Year 1993",145 148
15B.,"Geographic Distribution of Collective-Bargaining Elections Held in Cases Closed, Fiscal Year 1993",151
15C.,"Geographic Distribution of Decertification Elections Held in Cases Closed, Fiscal Year 1993",154
16.,"Industrial Distribution of Representation Elections Held in Cases Closed, Fiscal Year 1993",157
