row_label,col_1,col_2
BI. Analysis of 8(bX4),BI. Analysis of 8(bX4),BI. Analysis of 8(bX4)
Total cases 8(b)(4),1096,100.0
8(b)(4)(A),69,6.3
8(b)(4)(B),721,65.7
RbX4XC),11,1.0
g(hX4X13),245,22.4
8(bX4XARB),44,4.0
8(bR4RA)(C),2,0.2
8(b)(4)(BHC),3,0.3
8(b)(4)(AREIRC),1,0.1
',','
Rb)(4)(A),116,10.6
80X4)(13),769,69.8
8(b)(4XC),17,1.6
60X4)(D),245,22.4
B2. Analysis of 8(bX7),B2. Analysis of 8(bX7),B2. Analysis of 8(bX7)
Total cases 8(b)(7).,248,MO0
8(b)(7XA),56,22.6
800(7)(B),16,6.5
0B0(7)(C),167,67.3
KbX7XARB),4,1.6
RbX7)(AXC),4,1.6
"80,X7RBX0",1,0.4
8(bX7)(A),65,26.2
0()X7)(B),21,8.5
kbriK),172,69.3
C Charges filed under sec. 8(e),C Charges filed under sec. 8(e),C Charges filed under sec. 8(e)
Total cases 8(e),39,100.0
Against unions alone,39,100 0
D. Charges filed under sec. 8(g),D. Charges filed under sec. 8(g),D. Charges filed under sec. 8(g)
Total cases 8(g),37,100.0
