Method and stage of disposition,All cases / Number,All cases / Percent of total cases closed,CA cases / Number,CA cases / Percent of total cases closed,CB cases / Number,CB cases / Percent of total cases closed,CC cases / Number,CC cases / Percent of total cases closed,CD cases / Number,CD cases / Percent of total cases closed,CE cases / Number,CE cases / Percent of total cases closed,CG cases / Number,CG cases / Percent of total cases closed,CP cases / Number,CP cases / Percent of total cases closed
Total number of cases closed,29485,100.0,22703,100.0,5942,100.0,482,100.0,194,100.0,35,100.0,25,100.0,104,100.0
Agreement of the parties,10319,35.0,9068,39.9,962,16.2,213,44.1,5,2.5,12,34.2,9,36.0,44,42.3
Informal settlement,10248,34.8,9008,39.6,962,16.1,212,43.9,5,2.5,12,34.2,8,32.0,42,40.3
Before issuance of complaint,7423,25.2,6470,28.4,730,12.2,178,36.9,5,2.5,8,22.8,8,32.0,29,27.8
"After issuance of complaint, before opening of hearing",2709,9.2,2433,10.7,225,3.7,32,6.6,0,0.0,4,11.4,1,4.0,12,11.5
"After hearing opened, before issuance of administrative law judge's decision",116,0.4,105,0.4,7,0.1,2,0.4,0,0.0,0,0.0,0,0.0,2,1.9
Formal settlement,71,0.2,60,0.3,0,0.0,1,0.2,0,0.0,0,0.0,1,4.0,2,1.9
"After issuance of complaint, before opening of hearing",57,0.2,49,0.2,3,0.1,1,0.2,0,0.0,0,0.0,1,4.0,2,1.9
Stipulated decision,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Consent decree,57,0.2,49,0.2,3,0.1,1,0.2,0,0.0,0,0.0,1,4.0,2,1.9
After hearing opened,14,0.0,11,0.0,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Stipulated decision,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Consent decree,14,0.0,11,0.0,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Compliance with,691,2.3,609,2.7,70,1.2,8,1.6,0,0.0,0,0.0,2,8.0,2,1.9
