Expenditure item,Amount
Salaries,2023324
Travel expense,301060
Communications,78313
Reporting,55526
Rentals,166162
Furniture and equipment,57153
Supplies and materials,29886
Special and miscellaneous,8893
Transportation of things,2162
Total salaries and expenses,2722479
Printing and binding,123292
Grand total expenditures and obligations,2845771
