row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7
i 1 . I t 1 g,. il,I q m,".""-""q 4- ...",I,11111,R,"R.""'"
i 1 . I t 1 g,i ll,1 1,i 2222,1,11111,1,11111111
i 1 . I t 1 g,WI >go,1 1,11111,1,11111,1,11111111
i 1 . I t 1 g,;If,I 1,"i g, = 2",i,Ei@ o R g,1,11111111
. m,"; i l l ,",1 i,r1 .1:r i ;1,i,; ; 2221,1,11111111
i 1 . I t 1 g,ai,m m,m0000,0,00000,0,00000000
1,. l tv del,0 0,00000,0,00000,0,00000000
i 1 . I t 1 g,li,A,n 2,m0.0 .,-.0.0,0,00000000
;,e .. ilit§,g g,ti,_ 2,"Nr .,--o",o,00000000
i 1 . I t 1 g,3 g,A,2,2 =ww 2 x,mz.-m0,0,00000000
